date,datetime,tickersymbol,price,close,best-bid,best-ask,spread
2025-11-03,2025-11-03 14:45:00.000000,VN30F1M,1860.0,1860.0,1859.9,1860.1,0.1999999999998181
2025-11-04,2025-11-04 09:00:00.000000,VN30F1M,1857.8,1857.8,1857.7,1857.8999999999999,0.1999999999998181
2025-11-04,2025-11-04 09:01:00.000000,VN30F1M,1861.0,1861.0,1860.9,1861.1,0.1999999999998181
2025-11-04,2025-11-04 09:02:00.000000,VN30F1M,1859.6,1859.6,1859.5,1859.6999999999998,0.1999999999998181
2025-11-04,2025-11-04 09:03:00.000000,VN30F1M,1859.0,1859.0,1858.9,1859.1,0.1999999999998181
2025-11-04,2025-11-04 09:04:00.000000,VN30F1M,1861.2,1861.2,1861.1000000000001,1861.3,0.1999999999998181
2025-11-04,2025-11-04 09:05:00.000000,VN30F1M,1861.0,1861.0,1860.9,1861.1,0.1999999999998181
2025-11-04,2025-11-04 09:06:00.000000,VN30F1M,1861.4,1861.4,1861.3000000000002,1861.5,0.1999999999998181
2025-11-04,2025-11-04 09:07:00.000000,VN30F1M,1863.6,1863.6,1863.5,1863.6999999999998,0.1999999999998181
2025-11-04,2025-11-04 09:08:00.000000,VN30F1M,1862.5,1862.5,1862.4,1862.6,0.1999999999998181
2025-11-04,2025-11-04 09:09:00.000000,VN30F1M,1863.6,1863.6,1863.5,1863.6999999999998,0.1999999999998181
2025-11-04,2025-11-04 09:10:00.000000,VN30F1M,1863.5,1863.5,1863.4,1863.6,0.1999999999998181
2025-11-04,2025-11-04 09:11:00.000000,VN30F1M,1861.6,1861.6,1861.5,1861.6999999999998,0.1999999999998181
2025-11-04,2025-11-04 09:12:00.000000,VN30F1M,1861.7,1861.7,1861.6000000000001,1861.8,0.1999999999998181
2025-11-04,2025-11-04 09:13:00.000000,VN30F1M,1861.6,1861.6,1861.5,1861.6999999999998,0.1999999999998181
2025-11-04,2025-11-04 09:14:00.000000,VN30F1M,1863.6,1863.6,1863.5,1863.6999999999998,0.1999999999998181
2025-11-04,2025-11-04 09:15:00.000000,VN30F1M,1863.0,1863.0,1862.9,1863.1,0.1999999999998181
